campus_name,borough,route_id,stop_count,total_ridership
The Graduate School and University Center,Manhattan,QM16,3,110347
The Graduate School and University Center,Manhattan,QM17,3,121072
The Graduate School and University Center,Manhattan,QM18,3,39494
The Graduate School and University Center,Manhattan,QM2,3,260196
The Graduate School and University Center,Manhattan,QM20,3,204400
The Graduate School and University Center,Manhattan,QM21,2,34590
The Graduate School and University Center,Manhattan,QM24,4,131152
The Graduate School and University Center,Manhattan,QM4,3,120267
The Graduate School and University Center,Manhattan,QM5,3,325376
The Graduate School and University Center,Manhattan,QM6,3,167307
The Graduate School and University Center,Manhattan,QM63,1,30976
The Graduate School and University Center,Manhattan,QM64,1,14619
The Graduate School and University Center,Manhattan,QM68,1,24691
The Graduate School and University Center,Manhattan,SIM10,4,438147
The Graduate School and University Center,Manhattan,SIM11,3,189330
The Graduate School and University Center,Manhattan,SIM1C,3,1114532
The Graduate School and University Center,Manhattan,SIM23,10,92867
The Graduate School and University Center,Manhattan,SIM24,10,83788
The Graduate School and University Center,Manhattan,SIM3,3,182978
The Graduate School and University Center,Manhattan,SIM31,5,143118
The Graduate School and University Center,Manhattan,SIM33C,4,414111
The Graduate School and University Center,Manhattan,SIM3C,3,331816
The Graduate School and University Center,Manhattan,SIM4C,4,483559
The Graduate School and University Center,Manhattan,SIM6,3,329784
The Graduate School and University Center,Manhattan,X27,5,489211
The Graduate School and University Center,Manhattan,X28,5,489047
The Graduate School and University Center,Manhattan,X37,5,225056
The Graduate School and University Center,Manhattan,X38,5,197299
School of Professional Studies,Manhattan,BM1,1,258265
School of Professional Studies,Manhattan,BM2,1,216993
School of Professional Studies,Manhattan,BM3,1,187652
School of Professional Studies,Manhattan,BM4,1,131756
School of Professional Studies,Manhattan,BXM2,3,218578
School of Professional Studies,Manhattan,BXM3,1,221579
School of Professional Studies,Manhattan,BXM4,1,132194
School of Professional Studies,Manhattan,M1,2,2573060
School of Professional Studies,Manhattan,M2,2,2128389
School of Professional Studies,Manhattan,M20,4,487571
School of Professional Studies,Manhattan,M3,2,2961938
School of Professional Studies,Manhattan,M34+,7,1507539
School of Professional Studies,Manhattan,M34A+,7,1485936
School of Professional Studies,Manhattan,M5,6,1731771
School of Professional Studies,Manhattan,M55,7,575794
School of Professional Studies,Manhattan,M7,9,2617369
School of Professional Studies,Manhattan,Q32,3,2408804
School of Professional Studies,Manhattan,QM1,1,57993
School of Professional Studies,Manhattan,QM10,2,47033
School of Professional Studies,Manhattan,QM12,2,56738
School of Professional Studies,Manhattan,QM15,2,445248
School of Professional Studies,Manhattan,QM16,2,110347
School of Professional Studies,Manhattan,QM17,2,121072
School of Professional Studies,Manhattan,QM18,2,39494
School of Professional Studies,Manhattan,QM2,2,260196
School of Professional Studies,Manhattan,QM20,2,204400
School of Professional Studies,Manhattan,QM24,2,131152
School of Professional Studies,Manhattan,QM4,1,120267
School of Professional Studies,Manhattan,QM5,1,325376
School of Professional Studies,Manhattan,QM6,1,167307
School of Professional Studies,Manhattan,SIM10,2,438147
School of Professional Studies,Manhattan,SIM1C,3,1114532
School of Professional Studies,Manhattan,SIM23,7,92867
School of Professional Studies,Manhattan,SIM24,7,83788
School of Professional Studies,Manhattan,SIM3,3,182978
School of Professional Studies,Manhattan,SIM33C,1,414111
School of Professional Studies,Manhattan,SIM3C,3,331816
School of Professional Studies,Manhattan,SIM4C,1,483559
School of Public Health,Manhattan,BXM2,2,218578
School of Public Health,Manhattan,BXM3,2,221579
School of Public Health,Manhattan,BXM4,2,132194
School of Public Health,Manhattan,M1,6,2573060
School of Public Health,Manhattan,M101,6,4278914
School of Public Health,Manhattan,M102,8,2622408
School of Public Health,Manhattan,M125,6,1500176
School of Public Health,Manhattan,M2,1,2128389
School of Public Health,Manhattan,M60+,2,2298984
School of Public Health,Manhattan,M7,8,2617369
School of Journalism,Manhattan,BXM2,2,218578
School of Journalism,Manhattan,M104,4,1960370
School of Journalism,Manhattan,M20,9,487571
School of Journalism,Manhattan,M34A+,3,1485936
School of Journalism,Manhattan,M42,8,2524345
School of Journalism,Manhattan,M7,5,2617369
School of Journalism,Manhattan,Q32,3,2408804
School of Journalism,Manhattan,SIM22,7,189516
School of Journalism,Manhattan,SIM25,7,200685
School of Journalism,Manhattan,SIM26,7,224142
School of Journalism,Manhattan,SIM30,7,163229
School of Journalism,Manhattan,SIM8,7,388314
Macaulay Honors College,Manhattan,BXM2,5,218578
Macaulay Honors College,Manhattan,M10,9,1112341
Macaulay Honors College,Manhattan,M104,8,1960370
Macaulay Honors College,Manhattan,M11,6,2793375
Macaulay Honors College,Manhattan,M20,5,487571
Macaulay Honors College,Manhattan,M5,8,1731771
Macaulay Honors College,Manhattan,M66,7,1643575
Macaulay Honors College,Manhattan,M7,8,2617369
Macaulay Honors College,Manhattan,M72,4,1028392
Baruch College,Manhattan,BM1,17,258265
Baruch College,Manhattan,BM2,17,216993
Baruch College,Manhattan,BM3,17,187652
Baruch College,Manhattan,BM4,17,131756
Baruch College,Manhattan,BXM10,2,479548
Baruch College,Manhattan,BXM6,2,218607
Baruch College,Manhattan,BXM7,2,731993
Baruch College,Manhattan,BXM8,2,471241
Baruch College,Manhattan,BXM9,2,518579
Baruch College,Manhattan,M1,5,2573060
Baruch College,Manhattan,M101,6,4278914
Baruch College,Manhattan,M102,6,2622408
Baruch College,Manhattan,M103,6,2446785
Baruch College,Manhattan,M2,5,2128389
Baruch College,Manhattan,M23+,16,2373211
Baruch College,Manhattan,M3,5,2961938
Baruch College,Manhattan,QM21,2,34590
Baruch College,Manhattan,QM63,6,30976
Baruch College,Manhattan,QM64,6,14619
Baruch College,Manhattan,QM68,6,24691
Baruch College,Manhattan,SIM10,18,438147
Baruch College,Manhattan,SIM11,18,189330
Baruch College,Manhattan,SIM1C,3,1114532
Baruch College,Manhattan,SIM3,20,182978
Baruch College,Manhattan,SIM31,18,143118
Baruch College,Manhattan,SIM33C,3,414111
Baruch College,Manhattan,SIM3C,3,331816
Baruch College,Manhattan,SIM4C,3,483559
Baruch College,Manhattan,SIM6,18,329784
Baruch College,Manhattan,X27,4,489211
Baruch College,Manhattan,X28,1,489047
Baruch College,Manhattan,X37,19,225056
Baruch College,Manhattan,X38,19,197299
Brooklyn College,Brooklyn,B11,4,2005092
Brooklyn College,Brooklyn,B49,10,1944414
Brooklyn College,Brooklyn,B6,5,5318227
Brooklyn College,Brooklyn,BM1,8,258265
Brooklyn College,Brooklyn,BM3,8,187652
Brooklyn College,Brooklyn,BM4,8,131756
The City College of New York,Manhattan,BX33,2,278167
The City College of New York,Manhattan,M10,1,1112341
The City College of New York,Manhattan,M100,8,1640217
The City College of New York,Manhattan,M101,11,4278914
The City College of New York,Manhattan,M11,2,2793375
The City College of New York,Manhattan,M3,7,2961938
School of Medicine,Manhattan,BX33,2,278167
School of Medicine,Manhattan,M10,1,1112341
School of Medicine,Manhattan,M100,8,1640217
School of Medicine,Manhattan,M101,11,4278914
School of Medicine,Manhattan,M11,2,2793375
School of Medicine,Manhattan,M3,7,2961938
Hunter College,Manhattan,BXM1,5,386612
Hunter College,Manhattan,BXM10,1,479548
Hunter College,Manhattan,BXM11,3,324278
Hunter College,Manhattan,BXM3,3,221579
Hunter College,Manhattan,BXM4,3,132194
Hunter College,Manhattan,BXM6,1,218607
Hunter College,Manhattan,BXM7,1,731993
Hunter College,Manhattan,BXM8,1,471241
Hunter College,Manhattan,BXM9,1,518579
Hunter College,Manhattan,M1,5,2573060
Hunter College,Manhattan,M101,8,4278914
Hunter College,Manhattan,M102,8,2622408
Hunter College,Manhattan,M103,8,2446785
Hunter College,Manhattan,M2,5,2128389
Hunter College,Manhattan,M3,5,2961938
Hunter College,Manhattan,M4,5,3580379
Hunter College,Manhattan,M66,7,1643575
Hunter College,Manhattan,M72,9,1028392
Hunter College,Manhattan,M98,3,279075
John Jay College of Criminal Justice,Manhattan,BXM2,2,218578
John Jay College of Criminal Justice,Manhattan,M10,3,1112341
John Jay College of Criminal Justice,Manhattan,M104,1,1960370
John Jay College of Criminal Justice,Manhattan,M11,9,2793375
John Jay College of Criminal Justice,Manhattan,M12,4,384724
John Jay College of Criminal Justice,Manhattan,M20,1,487571
John Jay College of Criminal Justice,Manhattan,M31,5,2532961
John Jay College of Criminal Justice,Manhattan,M5,1,1731771
John Jay College of Criminal Justice,Manhattan,M57,4,1709293
John Jay College of Criminal Justice,Manhattan,M7,1,2617369
Lehman College,Bronx,BX1,10,1869965
Lehman College,Bronx,BX10,7,1639370
Lehman College,Bronx,BX2,10,1968148
Lehman College,Bronx,BX22,1,1440094
Lehman College,Bronx,BX25,6,450537
Lehman College,Bronx,BX26,6,477262
Lehman College,Bronx,BX28,5,1102792
Lehman College,Bronx,BX34,1,488350
Lehman College,Bronx,BX38,5,760422
Lehman College,Bronx,BXM4,8,132194
Queens College,Queens,None,0,0
York College,Queens,Q06,4,1737349
York College,Queens,Q08,4,1845717
York College,Queens,Q09,2,734225
York College,Queens,Q110,9,1172052
York College,Queens,Q111,4,1818511
York College,Queens,Q112,6,898248
York College,Queens,Q113,4,685840
York College,Queens,Q114,4,1120777
York College,Queens,Q115,6,300982
York College,Queens,Q17,2,3324072
York College,Queens,Q20,9,991706
York College,Queens,Q30,2,1449969
York College,Queens,Q31,2,1028789
York College,Queens,Q4,3,1462731
York College,Queens,Q41,5,1152582
York College,Queens,Q42,5,188440
York College,Queens,Q44+,3,4414545
York College,Queens,Q5,4,1771196
York College,Queens,Q54,6,2343826
York College,Queens,Q56,10,1206824
York College,Queens,Q75,2,133596
York College,Queens,Q83,3,1601789
York College,Queens,Q84,2,769509
York College,Queens,Q85,4,1532124
York College,Queens,Q86,4,188279
York College,Queens,Q87,4,181233
York College,Queens,Q89,4,182582
York College,Queens,QM64,1,14619
